feature,importance
pos_pools_lag1,0.10124203683607753
pos_pools_roll4,0.09984399840684687
new_human_lag1,0.07839877162975432
pos_pools_lag3,0.07408452796333394
pos_pools_lag2,0.06609661970281153
new_human_lag2,0.050843508757720264
cumul_human,0.03599877891084371
new_human_roll4,0.03270712493802331
dd_roll4w,0.02836725862758968
tavg_roll4w,0.02673669881429705
pos_pools_lag4,0.026370906705450923
tmax_mean,0.023762280919287084
tavg_mean_lag4w,0.02300231933324573
rh_mean_lag4w,0.02191451115130128
tavg_mean_lag2w,0.018799395249511946
dd_above10_lag4w,0.017976595312305492
cdl_pasture_hay_pct,0.017754689878004756
cumul_pos_lag2,0.015302702950238502
cdl_wetlands_pct,0.014002862620628555
dd_above10_lag2w,0.013906770331455296
tavg_roll2w,0.013639819175573257
week_cos,0.013400301051137216
saipe_poverty_rate,0.012549389520235753
week_num,0.012331228782621542
dd_roll2w,0.011825957459146918
cumul_pos_lag1,0.011785244406826642
prcp_roll4w,0.01145283165648441
new_human_lag3,0.011350130543612384
total_pop,0.01093046438795016
rh_roll2w,0.010905735394068118
wind_mean,0.0103328136265772
cumul_pos_lag4,0.009993242150027459
rh_roll4w,0.008521153923000652
new_human_lag4,0.006909044194814451
prcp_roll2w,0.0061396936415476396
week_sin,0.006022669322562863
avian_cases,0.005509533049140171
dewp_mean,0.005412285751030971
rh_mean_lag2w,0.005348079918577738
cdl_cropland_pct,0.004869362682634933
prcp_total_lag4w,0.004530684319783636
cdl_developed_pct,0.004225348034706709
prcp_total_lag2w,0.003561134285540366
pct_65_plus,0.0033191588097846877
saipe_median_income,0.0032029996222125135
cdl_fallow_idle_pct,0.0027455708359675236
peak_season,0.00207376441570632
pop_density_per_sqmi,0.0
